Super⌘ - Shift⇧ - Return⏎ - Tab⇥ - Space␣ - BackSpace⌫ - Ctrl^
Show keybindings,⌘ + ?
Terminal,⌘ + ⏎
Terminal (last location),⌘ + ⇧ + ⏎
Power menu,⌘ + Esc
Web brower,⌘ + w
Email client,⌘ + m
File manager,⌘ + e
File manager (last location),⌘ + ⇧ + e
Settings,⌘ + s
System tray,⌘ + t
Calculator,⌘ + c
Random wallpaper,⌘ + p
------------------------------------------------------------
Rofi-drun,⌘ + ␣
Rofi-run,⌘ + ⇧ + ␣
Rofi-window,⌘ + ⇥
------------------------------------------------------------
I3-fullscreen,⌘ + f
I3-floating toggle,⌘ + ⇧ + f
I3-focus tiling/floating,⌘ + ⇧ + t
I3-reload,⌘ + ⇧ + c
I3-restart,⌘ + ⇧ + r
I3-window focus,⌘ + {h/j/k/l}
I3-window focus (alt),⌘ + {←/↓/↑/→}
I3-window move,⌘ + ⇧ + {h/j/k/l}
I3-window move (alt),⌘ + ⇧ + {←/↓/↑/→}
I3-window resize,⌘ + r; {h/j/k/l}
I3-window resize (alt),⌘ + r; {←/↓/↑/→}
I3-window resize (),⌘ + RightClick
I3-window (float) move (),⌘ + LeftClick
I3-window kill,⌘ + q
I3-scratchpad show,⌘ + -
I3-scratchpad make,⌘ + ⇧ + -
I3-workspace focus,⌘ + {1/2/.../0}
I3-workspace move,⌘ + ⇧ + {1/2/.../0}
I3-workspace-prev focus,⌘ + PgUp
I3-workspace-next focus,⌘ + PgDown
I3-workspace-prev move,⌘ + ⇧ + PgUp
I3-workspace-next move,⌘ + ⇧ + PgDown
I3-monitor-left focus,⌘ + <
I3-monitor-right focus,⌘ + >
I3-monitor-left move window,⌘ + ⇧ + <
I3-monitor-right move window,⌘ + ⇧ + >
I3-split horz,⌘ + ^ + h
I3-split vert,⌘ + ^ + v
I3-split horz/vert toggle,⌘ + ⌫
I3-gaps increase,⌘ + z
I3-gaps decrease,⌘ + ⇧ + z
I3-layout stacking,⌘ + F1
I3-layout tabbed,⌘ + F2
I3-layout split,⌘ + F3
I3-instant-layout,⌘ + F4
------------------------------------------------------------
Notification-close all,⌘ + `
Notification-history,⌘ + ⇧ + `
------------------------------------------------------------
Screenshot-full,Print
Screenshot-area,⇧ + Print
Screenshot-full (clipboard),^ + Print
Screenshot-area (clipboard),^ + ⇧ + Print
