Show keybindings,Super + /
Power menu,Super + Esc
Terminal,Super + Return
Terminal (last location),Super + Shift + Return
File [e]xplorer,Super + e
File [e]xplorer (last location),Super + Shift + e
Random [w]allpaper,Super + w
System [t]ray,Super + t
Web [b]rower,Super + b
E[m]ail client,Super + m
[C]alculator,Super + c
[S]ettings (Stacer),Super + s
Toggle [p]icom,super + p
Switch keyboard layout,Ctrl + Alt + Space
─────────────────────────────────────────────────────────────────
Rofi-drun,Super + Space
Rofi-run,Super + Shift + Space
Rofi-window,Super + Tab
─────────────────────────────────────────────────────────────────
I3-fullscreen,Super + f
I3-floating toggle,Super + Shift + f
I3-focus tiling/floating,Super + Shift + t
I3-reload,Super + Shift + c
I3-restart,Super + Shift + r
I3-window focus,Super + {h/j/k/l}
I3-window focus (alt),Super + {←/↓/↑/→}
I3-window move,Super + Shift + {h/j/k/l}
I3-window move (alt),Super + Shift + {←/↓/↑/→}
I3-window resize,Super + r; {h/j/k/l}
I3-window resize (alt),Super + r; {←/↓/↑/→}
I3-window resize (),Super + RightClick
I3-window (float) move (),Super + LeftClick
I3-window kill,Super + q
I3-scratchpad show,Super + -
I3-scratchpad make,Super + Shift + -
I3-workspace focus,Super + {1/2/.../0}
I3-workspace move,Super + Shift + {1/2/.../0}
I3-workspace-prev focus,Super + PgUp
I3-workspace-next focus,Super + PgDown
I3-workspace-prev move,Super + Shift + PgUp
I3-workspace-next move,Super + Shift + PgDown
I3-monitor-left focus,Super + <
I3-monitor-right focus,Super + >
I3-monitor-left move window,Super + Shift + <
I3-monitor-right move window,Super + Shift + >
I3-split horz,Super + Ctrl + h
I3-split vert,Super + Ctrl + v
I3-split horz/vert toggle,Super + Backspace
I3-gaps increase,Super + z
I3-gaps decrease,Super + Shift + z
I3-layout stacking,Super + F1
I3-layout tabbed,Super + F2
I3-layout split,Super + F3
I3-instant-layout,Super + F4
─────────────────────────────────────────────────────────────────
Notification-close all,Super + `
Notification-history,Super + Shift + `
─────────────────────────────────────────────────────────────────
Screenshot-full,Print
Screenshot-area,Shift + Print
Screenshot-full (clipboard),Ctrl + Print
Screenshot-area (clipboard),Ctrl + Shift + Print
